lat,long,NM_MICRO,total,CD_GEOCMI,Fx18,Fx60,Fx70,pp_18,pp_60,pp_70
-47.6027776936324,-0.754434227920312,SALGADO,250901.976742879,15009,99588.7986680537,24370.6499619973,11183.5352659223,0.396923132933747,0.0971321560649639,0.0445733246549231
-39.2755671242295,-8.0114734374112,SALGUEIRO,163197.845440679,26002,59166.9044430345,18130.0882319508,8661.76188230385,0.362547092967237,0.111092693552385,0.0530752220344254
-42.3136848460294,-15.9089107452319,SALINAS,212026.242684822,31005,72708.1580734333,25627.182181533,12140.5910456953,0.342920560930348,0.120867973025528,0.0572598509126171
-38.3966998395591,-12.8422749776426,SALVADOR,3510871.1406101,29021,972182.051729857,316125.879376434,134021.563316046,0.276906218654586,0.0900420057346508,0.0381733074067643
-51.663102697331,-27.7910738400792,SANANDUVA,60385.2636937886,43005,14803.1523516847,11012.1984970949,4890.67513279364,0.245145113992561,0.18236566048527,0.0809912027145242
-52.6408238790231,-29.5177638609841,SANTA CRUZ DO SUL,322820.347484557,43020,83451.846657223,45994.3969598257,20616.9306162365,0.25850863276583,0.142476759343758,0.063865028263817
-54.1265514271563,-29.8573631257864,SANTA MARIA,364558.488989492,43018,93246.7487892039,55595.9967779284,25987.9472163873,0.25577994095727,0.152502269065338,0.0712860844042407
-44.6128600934796,-13.5718246101261,SANTA MARIA DA VITÓRIA,178248.111045887,29003,61610.5123262532,22038.2310465025,10638.7531840397,0.345644685740275,0.123637950030388,0.0596850823361651
-42.0701119150829,-21.9307956099866,SANTA MARIA MADALENA,29551.4750346348,33008,8189.62824312734,4427.40169435526,2126.6678777389,0.277130946375061,0.149819990006126,0.0719648638603119
-40.0247568910566,-4.43968316693013,SANTA QUITÉRIA,72345.4888629615,23007,25943.4263304915,9787.90350341811,4931.61343452611,0.358604617070653,0.135293902318617,0.0681675321023498
-45.7034934124688,-22.1155522942533,SANTA RITA DO SAPUCAÍ,141565.688838238,31053,40881.778695674,18489.091605104,8272.34905160335,0.288783101549331,0.130604327622287,0.0584347034898819
-54.4378313837775,-27.7569390866512,SANTA ROSA,156807.067924746,43001,37851.3135858604,26401.7000223068,11842.8937610068,0.241387802774464,0.168370599436101,0.0755252548098815
-40.737379730406,-19.8758882527788,SANTA TERESA,105257.793990231,32008,29557.3587303207,13549.3832746645,6534.86317744042,0.280809217159386,0.128725700596784,0.062084363824373
-37.3889325337691,-9.3204077502395,SANTANA DO IPANEMA,171858.797263878,27003,71946.4632702624,16378.6032228691,7486.84527145589,0.418637069592621,0.0953026757060379,0.0435639338262114
-54.3853348814158,-2.5023634128289,SANTARÉM,490971.288979568,15002,204829.227715786,37942.4812700271,16790.2609273873,0.417191865010075,0.077280448208869,0.0341980504853637
-54.3178341937596,-29.0809071974291,SANTIAGO,110667.23207921,43017,30480.7172214454,17436.8187419642,7942.74274832735,0.275426760467171,0.157560810136498,0.0717714051313974
-54.7039844218324,-28.4424351376509,SANTO ÂNGELO,195660.045360853,43007,52876.354765944,32130.5537215877,14558.375540003,0.270246051862172,0.164216223411018,0.0744064814722556
-39.1369067093807,-12.9224523705227,SANTO ANTÔNIO DE JESUS,543641.343977405,29020,171388.757564978,58231.7872776812,28819.2337679949,0.31526071271743,0.107114346476381,0.05301148282275
-42.1537438817865,-21.6613974586262,SANTO ANTÔNIO DE PÁDUA,122886.108491121,33002,32158.3290446654,19479.4070407886,9366.08749520919,0.261692142745239,0.158515940328569,0.0762176263062794
-46.2580184669097,-23.8726141534746,SANTOS,1489040.565113,35063,410531.824579457,197698.353420062,91322.0023686266,0.275702243577429,0.132768950727047,0.0613294254758576
-49.2913424037062,-26.1584606076897,SÃO BENTO DO SUL,127756.279067361,42007,38619.766660915,11760.1333809151,4878.2585903195,0.302292513079159,0.0920513141644834,0.0381841004288124
-48.0126025551835,-21.9959944827449,SÃO CARLOS,313182.390659132,35025,80451.4018701062,40835.1628220602,19465.322790904,0.256883542209337,0.130387799697542,0.0621533118446947
-51.7991864243625,-7.10596269026549,SÃO FÉLIX DO XINGU,178210.138808784,15018,66250.2307512461,8385.13001293165,2775.3150852056,0.371753432178914,0.047051924592959,0.0155732726754871
-51.828490473172,-30.0841705216777,SÃO JERÔNIMO,144972.885832978,43025,40656.6743084168,19423.3688692888,8382.3345766685,0.280443298585205,0.1339793214275,0.0578200159878565
-46.996816019681,-21.7990239057559,SÃO JOÃO DA BOA VISTA,410950.182197332,35030,106266.753338242,60153.627912746,28614.5632126374,0.258587921217211,0.146376934525512,0.0696302482691129
-44.2570339082887,-21.2320556294064,SÃO JOÃO DEL REI,184021.976502139,31058,48812.3692165729,25137.4769235219,11474.6213839901,0.265252934157055,0.136600407197723,0.0623546252577976
-48.0348936352595,-20.5473433479985,SÃO JOAQUIM DA BARRA,213837.544860555,35010,59059.254604274,25640.9238727497,11109.7648469527,0.276187489165136,0.119908428098865,0.0519542293389006
-49.4593360248314,-20.8324306162793,SÃO JOSÉ DO RIO PRETO,774603.680377614,35004,187340.423622068,110498.266354416,51629.2568051768,0.241853257824364,0.142651357272855,0.0666524806337195
