week,mean,perc_75,perc_25,Estado
39,0.0,0.0,0.0,RN
40,0.0,0.0,0.0,RN
41,0.0,0.0,0.0,RN
42,0.0,0.0,0.0,RN
43,0.0,0.0,0.0,RN
44,0.0,0.0,0.0,RN
45,0.0,0.0,0.0,RN
46,0.0,0.0,0.0,RN
47,0.0,1.0,0.0,RN
48,0.0,1.0,0.0,RN
49,0.0,0.0,0.0,RN
50,0.0,0.0,0.0,RN
51,0.0,0.0,0.0,RN
52,0.0,0.0,0.0,RN
53,0.0,0.0,0.0,RN
1,0.0,1.0,0.0,GO
2,0.0,0.0,0.0,GO
3,0.0,0.0,0.0,GO
4,0.0,0.0,0.0,GO
5,0.0,0.0,0.0,GO
6,0.0,0.0,0.0,GO
7,0.0,0.0,0.0,GO
8,0.0,0.0,0.0,GO
9,0.0,0.0,0.0,GO
10,0.0,1.0,0.0,GO
11,0.0,1.0,0.0,GO
12,1.0,1.0,0.0,GO
13,0.0,1.0,0.0,GO
14,0.0,1.0,0.0,GO
15,0.0,1.0,0.0,GO
16,0.0,1.0,0.0,GO
17,0.0,1.0,0.0,GO
18,1.0,3.0,0.0,GO
19,1.0,1.0,0.0,GO
20,0.0,1.0,0.0,GO
21,1.0,2.0,0.0,GO
22,0.0,1.0,0.0,GO
23,0.0,2.0,0.0,GO
24,1.0,1.0,0.0,GO
25,0.0,1.0,0.0,GO
26,0.0,1.0,0.0,GO
27,1.0,1.0,0.0,GO
28,0.0,1.0,0.0,GO
29,0.0,1.0,0.0,GO
30,0.0,0.75,0.0,GO
31,0.0,0.0,0.0,GO
32,0.0,1.0,0.0,GO
33,0.0,1.0,0.0,GO
34,1.0,1.0,0.0,GO
35,0.0,0.75,0.0,GO
36,0.0,1.0,0.0,GO
37,0.0,0.75,0.0,GO
38,0.5,1.0,0.0,GO
39,1.0,1.75,0.25,GO
40,0.0,0.75,0.0,GO
41,0.0,0.0,0.0,GO
42,0.0,0.0,0.0,GO
43,1.0,1.0,0.0,GO
44,0.0,0.75,0.0,GO
45,0.0,0.0,0.0,GO
46,0.0,1.0,0.0,GO
47,0.0,0.75,0.0,GO
48,0.0,0.0,0.0,GO
49,0.0,0.0,0.0,GO
50,0.0,0.75,0.0,GO
51,0.0,0.0,0.0,GO
52,0.0,0.0,0.0,GO
53,0.0,0.0,0.0,GO
1,0.0,0.0,0.0,AP
2,0.0,0.0,0.0,AP
3,0.0,0.0,0.0,AP
4,0.0,0.0,0.0,AP
5,0.0,0.0,0.0,AP
6,0.0,0.0,0.0,AP
7,0.0,0.0,0.0,AP
8,0.0,0.0,0.0,AP
9,0.0,0.0,0.0,AP
10,0.0,0.0,0.0,AP
11,0.0,0.0,0.0,AP
12,0.0,0.0,0.0,AP
13,0.0,0.0,0.0,AP
14,0.0,0.0,0.0,AP
15,0.0,0.0,0.0,AP
16,0.0,0.0,0.0,AP
17,0.0,0.0,0.0,AP
18,0.0,0.0,0.0,AP
19,0.0,0.0,0.0,AP
20,0.0,0.0,0.0,AP
21,0.0,0.0,0.0,AP
22,0.0,0.0,0.0,AP
23,0.0,0.0,0.0,AP
24,0.0,0.0,0.0,AP
25,0.0,0.0,0.0,AP
26,0.0,0.0,0.0,AP
27,0.0,0.0,0.0,AP
28,0.0,0.0,0.0,AP
29,0.0,0.0,0.0,AP
30,0.0,0.0,0.0,AP
31,0.0,0.0,0.0,AP
32,0.0,0.0,0.0,AP
33,0.0,0.0,0.0,AP
34,0.0,0.0,0.0,AP
35,0.0,0.0,0.0,AP
36,0.0,0.0,0.0,AP
37,0.0,0.0,0.0,AP
38,0.0,0.0,0.0,AP
39,0.0,0.0,0.0,AP
40,0.0,0.0,0.0,AP
41,0.0,0.0,0.0,AP
42,0.0,0.0,0.0,AP
43,0.0,0.0,0.0,AP
44,0.0,0.0,0.0,AP
45,0.0,0.0,0.0,AP
46,0.0,0.0,0.0,AP
47,0.0,0.0,0.0,AP
48,0.0,0.0,0.0,AP
49,0.0,0.0,0.0,AP
50,0.0,0.0,0.0,AP
51,0.0,0.0,0.0,AP
52,0.0,0.0,0.0,AP
53,0.0,0.0,0.0,AP
1,0.0,1.0,0.0,CE
2,0.0,1.0,0.0,CE
3,1.0,1.0,0.0,CE
4,0.5,1.0,0.0,CE
5,0.0,0.0,0.0,CE
6,0.0,0.0,0.0,CE
7,1.0,1.0,0.0,CE
8,0.5,1.0,0.0,CE
9,1.0,1.0,0.0,CE
10,1.0,1.75,0.0,CE
11,0.0,0.0,0.0,CE
12,0.5,1.0,0.0,CE
13,0.0,1.0,0.0,CE
14,1.5,2.0,0.25,CE
15,1.0,2.0,0.25,CE
16,1.0,2.5,0.25,CE
17,1.0,1.75,0.0,CE
18,0.5,1.0,0.0,CE
19,0.5,1.75,0.0,CE
20,1.0,1.75,0.25,CE
21,0.5,2.0,0.0,CE
22,1.0,2.0,0.25,CE
23,1.0,1.0,0.0,CE
24,1.0,1.75,0.25,CE
25,0.0,1.0,0.0,CE
26,1.0,2.0,0.0,CE
27,0.0,0.0,0.0,CE
28,0.0,0.75,0.0,CE
29,1.0,1.0,0.25,CE
30,0.5,1.75,0.0,CE
31,0.5,1.0,0.0,CE
32,0.0,0.75,0.0,CE
33,0.5,1.0,0.0,CE
34,0.0,1.0,0.0,CE
35,0.0,0.75,0.0,CE
36,0.0,1.0,0.0,CE
37,0.5,1.0,0.0,CE
38,0.0,0.0,0.0,CE
39,0.0,0.75,0.0,CE
40,0.0,0.0,0.0,CE
41,0.0,0.75,0.0,CE
42,0.0,0.75,0.0,CE
43,0.0,0.75,0.0,CE
44,0.0,0.0,0.0,CE
45,0.0,0.75,0.0,CE
46,0.0,0.0,0.0,CE
47,0.0,0.75,0.0,CE
48,0.0,1.0,0.0,CE
49,0.0,0.75,0.0,CE
50,0.0,0.0,0.0,CE
51,0.0,1.0,0.0,CE
52,1.0,1.0,0.0,CE
53,1.5,1.75,1.25,CE
1,0.0,0.0,0.0,PI
2,0.0,1.0,0.0,PI
3,0.5,1.0,0.0,PI
4,0.0,0.0,0.0,PI
5,0.0,0.0,0.0,PI
6,0.0,0.0,0.0,PI
7,0.0,0.0,0.0,PI
8,0.0,0.0,0.0,PI
9,0.0,0.0,0.0,PI
10,0.0,0.0,0.0,PI
11,0.0,0.0,0.0,PI
12,0.0,0.0,0.0,PI
13,0.0,0.0,0.0,PI
14,0.0,0.0,0.0,PI
15,0.5,1.0,0.0,PI
16,0.5,1.0,0.0,PI
17,0.5,1.0,0.0,PI
18,0.0,2.0,0.0,PI
19,1.0,1.0,0.0,PI
20,0.5,1.75,0.0,PI
21,0.0,1.0,0.0,PI
22,1.0,1.0,0.0,PI
23,0.0,1.75,0.0,PI
24,0.0,1.0,0.0,PI
25,0.0,0.75,0.0,PI
26,0.0,0.75,0.0,PI
27,1.0,1.0,0.0,PI
28,0.5,1.0,0.0,PI
29,0.0,0.0,0.0,PI
30,0.0,1.0,0.0,PI
31,0.5,1.0,0.0,PI
32,0.0,0.0,0.0,PI
33,0.0,1.0,0.0,PI
34,0.0,0.0,0.0,PI
35,0.0,0.0,0.0,PI
36,0.0,0.0,0.0,PI
37,0.0,1.0,0.0,PI
38,0.0,0.0,0.0,PI
39,0.0,0.0,0.0,PI
40,0.0,0.0,0.0,PI
41,0.0,0.0,0.0,PI
42,0.0,1.0,0.0,PI
